Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Canal 24 Horas,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,News,TV
Once Internacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
AyM Sports,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
Latin American Sports USA,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Sports,TV
Kanal D Drama,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Telemicro Internacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Ecuavisa Internacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
CB TV Michoacan,,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
HBO + Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HBO Signature Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HTV,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Music,TV
TLC Argentina,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Documentary,TV
Animal Planet Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Documentary,TV
HBO Pop Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
HBO Mundi Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,Films,TV
Univisión Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Sun Channel,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
Food Network Latinoamérica,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
MTV 00s,Tigo,117° W,EUTELSAT 117 West A,English,SD,Encoded,Music,TV
Comedy Central Latinoamérica Sur,Tigo,117° W,EUTELSAT 117 West A,Spanish,SD,Encoded,,TV
